date,month,start_date,start_adjusted_close,end_date,end_adjusted_close,nvda_return,source_url
2021-02,Feb 2021,2021-01-29,12.952621459960938,2021-02-26,13.675299644470215,0.05579397087633686,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-03,Mar 2021,2021-02-26,13.675299644470215,2021-03-31,13.314690589904785,-0.02636937134399442,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-04,Apr 2021,2021-03-31,13.314690589904785,2021-04-30,14.971762657165527,0.12445441792820455,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-05,May 2021,2021-04-30,14.971762657165527,2021-05-28,16.203655242919922,0.08228106562755366,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-06,Jun 2021,2021-05-28,16.203655242919922,2021-06-30,19.956785202026367,0.23162242733758176,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-07,Jul 2021,2021-06-30,19.956785202026367,2021-07-30,19.454431533813477,-0.025172073714652354,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-08,Aug 2021,2021-07-30,19.454431533813477,2021-08-31,22.337778091430664,0.14821027037493661,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-09,Sept 2021,2021-08-31,22.337778091430664,2021-09-30,20.67229652404785,-0.07455896287293373,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-10,Oct 2021,2021-09-30,20.67229652404785,2021-10-29,25.513065338134766,0.23416695907277174,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-11,Nov 2021,2021-10-29,25.513065338134766,2021-11-30,32.60707092285156,0.27805383205417034,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-12,Dec 2021,2021-11-30,32.60707092285156,2021-12-31,29.352548599243164,-0.09981032430998205,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-01,Jan 2022,2021-12-31,29.352548599243164,2022-01-31,24.43733787536621,-0.16745430834594333,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-02,Feb 2022,2022-01-31,24.43733787536621,2022-02-28,24.33654022216797,-0.004124739515913078,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-03,Mar 2022,2022-02-28,24.33654022216797,2022-03-31,27.236412048339844,0.11915711106422622,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-04,Apr 2022,2022-03-31,27.236412048339844,2022-04-29,18.513296127319336,-0.3202740473135195,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-05,May 2022,2022-04-29,18.513296127319336,2022-05-31,18.63806915283203,0.0067396440187965645,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-06,Jun 2022,2022-05-31,18.63806915283203,2022-06-30,15.134653091430664,-0.18797097664320161,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-07,Jul 2022,2022-06-30,15.134653091430664,2022-07-29,18.133827209472656,0.19816602996603483,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-08,Aug 2022,2022-07-29,18.133827209472656,2022-08-31,15.069754600524902,-0.16896999036955418,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-09,Sept 2022,2022-08-31,15.069754600524902,2022-09-30,12.123104095458984,-0.1955340735915687,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
