date,month,start_date,start_adjusted_close,end_date,end_adjusted_close,sp500tr_return,source_url
2019-11,Nov 2019,2019-10-31,6138.72998046875,2019-11-29,6361.56005859375,0.03629905189411575,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-12,Dec 2019,2019-11-29,6361.56005859375,2019-12-31,6553.56982421875,0.030182811111814756,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-01,Jan 2020,2019-12-31,6553.56982421875,2020-01-31,6551.0,-0.00039212586234349533,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-02,Feb 2020,2020-01-31,6551.0,2020-02-28,6011.72998046875,-0.08231873294630587,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-03,Mar 2020,2020-02-28,6011.72998046875,2020-03-31,5269.2001953125,-0.12351349571065617,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-04,Apr 2020,2020-03-31,5269.2001953125,2020-04-30,5944.68017578125,0.12819402479140174,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-05,May 2020,2020-04-30,5944.68017578125,2020-05-29,6227.81005859375,0.04762743737938613,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-06,Jun 2020,2020-05-29,6227.81005859375,2020-06-30,6351.669921875,0.01988818896464828,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-07,Jul 2020,2020-06-30,6351.669921875,2020-07-31,6709.81005859375,0.05638519336235093,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-08,Aug 2020,2020-07-31,6709.81005859375,2020-08-31,7192.10986328125,0.07187979994601834,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-09,Sept 2020,2020-08-31,7192.10986328125,2020-09-30,6918.830078125,-0.03799716499763972,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-10,Oct 2020,2020-09-30,6918.830078125,2020-10-30,6734.83984375,-0.026592680019229653,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-11,Nov 2020,2020-10-30,6734.83984375,2020-11-30,7472.06005859375,0.10946365941098035,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-12,Dec 2020,2020-11-30,7472.06005859375,2020-12-31,7759.35009765625,0.03844857198813356,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-01,Jan 2021,2020-12-31,7759.35009765625,2021-01-29,7681.009765625,-0.01009624917619234,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
